"","avg_a","q26r3","q26r11"
"2068",2.75,2,3
"2206",3.75,2,6
"1285",2.5,1,6
"17",3,1,4
"1760",3.25,3,4
"2359",1,1,1
"614",2.5,3,2
"1767",3.5,2,6
"1913",3.25,4,3
"1637",3.25,2,2
"337",2,3,2
"648",2.5,2,6
"1454",3.5,1,2
"116",3,5,6
"1137",3.5,1,6
"1469",2.5,3,2
"606",4.5,1,6
"1339",3,3,6
"553",3,2,5
"1920",3.25,3,3
"956",1.5,1,1
"1037",2,2,6
"211",3.5,4,6
"1944",3,2,6
"541",2.75,3,3
"1151",3.75,1,4
"769",2.25,3,4
"474",3,3,3
"2199",1.75,2,1
"234",2.75,3,6
"224",2.25,2,3
"801",1,1,1
"2124",2.75,3,3
"1631",3.5,4,6
"52",3,3,3
"400",3,3,3
"1310",2.75,1,6
"1717",2.5,2,6
"1056",3.25,1,6
"631",3,2,2
"2380",1.75,1,6
"1752",3,3,6
"1453",2.25,2,6
"140",2.5,2,2
"527",3.5,1,6
"1856",3.75,2,1
"1250",3.75,3,4
"542",2.5,1,4
"350",3.25,2,4
"89",2.5,3,2
"2391",5,5,5
"1079",3.75,2,5
"531",3,1,6
"1811",2.25,5,6
"1400",3.25,3,3
"373",3.25,3,4
"952",3.25,1,6
"7",2.5,5,6
"2318",2.5,2,4
"1497",2.75,1,6
"405",1.5,2,2
"889",3.25,2,6
"909",2.75,3,6
"1225",3,5,6
"2172",1.75,2,1
"2300",2.5,1,6
"2113",3.25,4,4
"1549",3.25,2,1
"498",2.75,2,6
"2039",1.5,1,6
"1197",3.75,1,3
"149",3.5,1,4
"2",1.25,2,1
"1690",3,2,6
"840",2.75,3,6
"2107",2.75,1,6
"2122",2.5,1,5
"126",3.5,1,6
"2162",3.5,5,2
"1693",2.75,6,6
"1313",3.75,3,6
"2222",3,2,5
"517",2.75,4,4
"703",3.25,4,2
"885",2.75,1,6
"1822",3,2,4
"22",2.25,1,1
"40",3,2,3
"1506",1.5,2,6
"1005",3.25,2,6
"1437",3,4,6
"2096",3.25,3,5
"1661",3.5,1,6
"365",1,1,1
"176",2.75,2,6
"2005",3.25,2,2
